kind,target,class,member,status,ll_file,ll_line,decl,project_file,project_line,note
hook,ActorAnimationControllerPlayer::applyToPose,ActorAnimationControllerPlayer,applyToPose,FOUND,src/mc/world/actor/animation/ActorAnimationControllerPlayer.h,122,MCAPI void $applyToPose(,src/Hook/Hooks/ActorHooks/ActorModelHook.cpp,38,"символ есть, но сигнатура изменилась: (ApplyAnimationContext const&, RenderParams&, unordered_map<SkeletalHierarchyIndex, vector<BoneOrientation>>&, float) — тело хука переписывать"
hook,Mob::getCurrentSwingDuration,Mob,getCurrentSwingDuration,FOUND_ELSEWHERE,src/mc/world/item/Item.h,231,virtual uint getSwingDuration() const;,src/Hook/Hooks/ActorHooks/AnimationHooks.cpp,51,"в 1.26: uint Item::getSwingDuration() (Item.h:231) | найдено в другом классе — проверь, тот ли это метод"
hook,bobHurt,?,bobHurt,FOUND_ELSEWHERE,src-client/mc/client/renderer/game/LevelRendererPlayer.h,365,"MCAPI void bobHurt(::Matrix& mv, float a);",src/Hook/Hooks/ActorHooks/AnimationHooks.cpp,55,"найдено как LevelRendererPlayer::bobHurt(Matrix&, float) — класс сменился | найдено в другом классе — проверь, тот ли это метод"
hook,Actor::baseTick,Actor,baseTick,FOUND,src/mc/world/actor/Actor.h,1254,MCAPI void $baseTick();,src/Hook/Hooks/ActorHooks/BaseTickHook.cpp,67,готовый символ
hook,entityHurt,?,entityHurt,FOUND_ELSEWHERE,src/mc/world/actor/Actor.h,612,"_hurt(::ActorDamageSource const& source, float damage, ::HurtParameters const& hurtParameters);",src/Hook/Hooks/ActorHooks/HealthHooks.cpp,53,"найдено в другом классе — проверь, тот ли это метод"
hook,entityHealthChanged,?,entityHealthChanged,FOUND_ELSEWHERE,src/mc/scripting/modules/minecraft/events/IScriptWorldAfterEvents.h,127,virtual void onActorHealthChanged(,src/Hook/Hooks/ActorHooks/HealthHooks.cpp,58,"в 1.26: onActorHealthChanged (IScriptWorldAfterEvents.h:127) | найдено в другом классе — проверь, тот ли это метод"
hook,Unknown::renderNametag,Unknown,renderNametag,CLASS_MISSING,,,,src/Hook/Hooks/ActorHooks/NametagRenderHook.cpp,32,"в 1.26 неймтеги — это NameTagRenderObject / NameTagRenderer (объекты рендера), не отдельная функция"
hook,projectileHitEntity,?,projectileHitEntity,FOUND_ELSEWHERE,src/mc/scripting/modules/minecraft/events/IScriptWorldAfterEvents.h,344,onProjectileHitEntity(::std::shared_ptr<::ScriptModuleMinecraft::ScriptProjectileHitIntermediateData>& eventData);,src/Hook/Hooks/ActorHooks/ProjectileHooks.cpp,53,"в 1.26 есть scripting-событие onProjectileHitEntity + ProjectileHitEvent | найдено в другом классе — проверь, тот ли это метод"
hook,projectileHitBlock,?,projectileHitBlock,FOUND_ELSEWHERE,src/mc/scripting/modules/minecraft/events/IScriptWorldAfterEvents.h,341,onProjectileHitBlock(::std::shared_ptr<::ScriptModuleMinecraft::ScriptProjectileHitIntermediateData>& eventData);,src/Hook/Hooks/ActorHooks/ProjectileHooks.cpp,56,"в 1.26 есть scripting-событие onProjectileHitBlock + ProjectileHitEvent | найдено в другом классе — проверь, тот ли это метод"
hook,ContainerScreenController::tick,ContainerScreenController,tick,FOUND,src-client/mc/client/gui/screens/controllers/ContainerScreenController.h,320,MCAPI ::ui::DirtyFlag $tick();,src/Hook/Hooks/ContainerHooks/ContainerScreenControllerHook.cpp,54,готовый символ
